Country,Latitude,Longitude
Afghanistan,33.9391,67.71
Albania,41.1533,20.1683
Algeria,28.0339,1.6596
Andorra,42.5078,1.5211
Angola,-11.2027,17.8739
Antigua and Barbuda,17.0608,-61.7964
Argentina,-38.4161,-63.6167
Armenia,40.0691,45.0382
Australia,-25.2744,133.7751
Austria,47.5162,14.5501
Azerbaijan,40.1431,47.5769
Bahamas,25.0343,-77.3963
Bahrain,26.0667,50.5577
Bangladesh,23.685,90.3563
Barbados,13.1939,-59.5432
Belarus,53.9006,27.559
Belgium,50.8503,4.3517
Belize,17.1899,-88.4976
Benin,9.3077,2.3158
Bhutan,27.5142,90.4336
Bolivia,-16.2902,-63.5887
Bosnia and Herzegovina,43.9159,17.6791
Botswana,-22.3285,24.6849
Brazil,-14.235,-51.9253
Brunei,4.5353,114.7277
Bulgaria,42.7339,25.4858
Burkina Faso,12.2383,-1.5616
Burundi,-3.3731,29.9189
Cabo Verde,16.5388,-23.0418
Cambodia,12.5657,104.991
Cameroon,7.3697,12.3547
Canada,56.1304,-106.3468
Central African Republic,6.6111,20.9394
Chad,15.4542,18.7322
Chile,-35.6751,-71.543
China,35.8617,104.1954
Colombia,4.5709,-74.2973
Comoros,-11.6455,43.3333
Congo (Congo-Brazzaville),-0.228,15.8277
Congo (Congo-Kinshasa),-4.0383,21.7587
Costa Rica,9.7489,-83.7534
Croatia,45.1,15.2
Cuba,21.5218,-77.7812
Cyprus,35.1264,33.4299
Czechia,49.8175,15.472
Denmark,56.2639,9.5018
Djibouti,11.8251,42.5903
Dominica,15.414,-61.37
Dominican Republic,18.7357,-70.1627
Ecuador,-1.8312,-78.1834
Egypt,26.8206,30.8025
El Salvador,13.7942,-88.8965
Equatorial Guinea,1.6508,10.2679
Eritrea,15.1794,39.7823
Estonia,58.5953,25.0136
Eswatini,-26.5225,31.4659
Ethiopia,9.145,40.4897
Fiji,-17.7134,178.065
Finland,61.9241,25.7482
France,46.6034,1.8883
Germany,51.1657,10.4515
India,20.5937,78.9629
United States,37.0902,-95.7129
United Kingdom,55.3781,-3.436
Russia,61.524,105.3188
Brazil,-14.235,-51.9253
South Africa,-30.5595,22.9375
Mexico,23.6345,-102.5528
Indonesia,-0.7893,113.9213
Pakistan,30.3753,69.3451
Bangladesh,23.685,90.3563
Japan,36.2048,138.2529
Philippines,12.8797,121.774
Vietnam,14.0583,108.2772
Egypt,26.8206,30.8025
Turkey,38.9637,35.2433
Iran,32.4279,53.688
Germany,51.1657,10.4515
Thailand,15.87,100.9925
France,46.6034,1.8883
Italy,41.8719,12.5674
South Korea,35.9078,127.7669
Spain,40.4637,-3.7492
Canada,56.1304,-106.3468
Saudi Arabia,23.8859,45.0792
Australia,-25.2744,133.7751
Argentina,-38.4161,-63.6167
